,geo_value,time_value,children cant covid
979,36081,2021-05-27,14.3504765
980,36103,2021-05-27,8.9806166
981,36119,2021-05-27,9.2008363
1065,6000,2021-05-28,7.4606445
1066,6001,2021-05-28,3.0402917
1067,6013,2021-05-28,5.285459
1068,6019,2021-05-28,7.8518417
1069,6029,2021-05-28,15.683502
1070,6037,2021-05-28,11.0556943
1071,6059,2021-05-28,7.1696168
1072,6065,2021-05-28,10.8359046
1073,6067,2021-05-28,6.8515767
1074,6071,2021-05-28,10.9958687
1075,6073,2021-05-28,6.6839004
1076,6075,2021-05-28,5.7145938
1077,6077,2021-05-28,11.9321505
1078,6081,2021-05-28,4.319722
1079,6085,2021-05-28,10.0256648
1080,6095,2021-05-28,6.5264606
1081,6097,2021-05-28,6.2394233
1082,6099,2021-05-28,4.6521398
1083,6111,2021-05-28,7.3664913
1184,36000,2021-05-28,6.2138499
1185,36005,2021-05-28,11.5119508
1186,36029,2021-05-28,4.9646663
1187,36047,2021-05-28,8.9039003
1188,36055,2021-05-28,4.9501747
1189,36059,2021-05-28,7.2290439
1190,36061,2021-05-28,4.7103749
1191,36067,2021-05-28,3.231422
1192,36081,2021-05-28,14.7993648
1193,36103,2021-05-28,6.6311537
1194,36119,2021-05-28,9.2744684
1278,6000,2021-05-29,7.4683245
1279,6001,2021-05-29,3.6459754
1280,6013,2021-05-29,6.0374109
1281,6019,2021-05-29,10.1578816
1282,6029,2021-05-29,16.7641843
1283,6037,2021-05-29,11.2148666
1284,6053,2021-05-29,6.3201818
1285,6059,2021-05-29,7.646413
1286,6065,2021-05-29,10.1464119
1287,6067,2021-05-29,7.6903739
1288,6071,2021-05-29,9.7496378
1289,6073,2021-05-29,5.5642525
1290,6075,2021-05-29,5.8323063
1291,6077,2021-05-29,12.494075
1292,6081,2021-05-29,5.1104312
1293,6085,2021-05-29,10.2199968
1294,6095,2021-05-29,4.937185
1295,6097,2021-05-29,5.5336321
1296,6099,2021-05-29,2.663286
1297,6111,2021-05-29,7.5109582
1396,36000,2021-05-29,5.6290182
1397,36005,2021-05-29,14.1510617
1398,36029,2021-05-29,4.3407061
1399,36047,2021-05-29,11.3517476
1400,36055,2021-05-29,5.9399619
1401,36059,2021-05-29,7.9739532
1402,36061,2021-05-29,6.4979876
1403,36067,2021-05-29,4.1839532
1404,36081,2021-05-29,11.844327
1405,36103,2021-05-29,7.3090093
1406,36119,2021-05-29,9.5001745
1493,6000,2021-05-30,7.6105289
1494,6001,2021-05-30,4.3469395
1495,6013,2021-05-30,4.7001013
1496,6019,2021-05-30,10.5799405
